rel,desc
Other,This [E1]action[/E1] will update your profile picture from the image URL you specify and optionally tweet about it on Twitter and this [E2]trigger[/E2] fires every time a new user starts following you on Twitter.
Other,This [E1]action[/E1] will update your profile picture from the image URL you specify and optionally tweet about it on Twitter and this [E2]trigger[/E2] fires for every link you tweet on Twitter.
"Cause-Effect(e1,e2)",This [E1]action[/E1] will create a normal post on your WordPress blog and this [E2]trigger[/E2] fires every time you publish a new post on your public WordPress blog.
"Cause-Effect(e1,e2)",This [E1]action[/E1] will create a new note with an audio attachment in the notebook you specify on Evernote and this [E2]trigger[/E2] fires every time you create a new note in a specific notebook on Evernote.
Other,This [E1]action[/E1] will upload a new private track from the URL you specify on SoundCloud and this [E2]trigger[/E2] fires every time you like a public track on SoundCloud.
"Cause-Effect(e1,e2)",This [E1]action[/E1] will upload a new private track from the URL you specify on SoundCloud and this [E2]trigger[/E2] fires every time you upload a new public track on SoundCloud.
Other,This [E1]action[/E1] will upload a new private track from the URL you specify on SoundCloud and this [E2]trigger[/E2] fires every time a new track is uploaded to SoundCloud that matches the search query you specify.
Other,This [E1]action[/E1] will upload a new private track from the URL you specify on SoundCloud and this [E2]trigger[/E2] fires every time a new public track is uploaded by anyone you follow on SoundCloud.
"Cause-Effect(e1,e2)",This [E1]action[/E1] will create a new note with an image attachment in the notebook you specify on Evernote and this [E2]trigger[/E2] fires every time you create a new note in a specific notebook on Evernote.
Other,This [E1]action[/E1] will upload a new public track from the URL you specify on SoundCloud and this [E2]trigger[/E2] fires every time you like a public track on SoundCloud.
"Cause-Effect(e1,e2)",This [E1]action[/E1] will upload a new public track from the URL you specify on SoundCloud and this [E2]trigger[/E2] fires every time you upload a new public track on SoundCloud.
Other,This [E1]action[/E1] will upload a new public track from the URL you specify on SoundCloud and this [E2]trigger[/E2] fires every time a new track is uploaded to SoundCloud that matches the search query you specify.
"Cause-Effect(e1,e2)",This [E1]action[/E1] will upload a new public track from the URL you specify on SoundCloud and this [E2]trigger[/E2] fires every time a new public track is uploaded by anyone you follow on SoundCloud.
Other,This [E1]action[/E1] will append to a text file as determined by the file name and folder path you specify on Dropbox and this [E2]trigger[/E2] fires every time a photo is saved in the folder you specify on Dropbox.
Other,This [E1]action[/E1] will append to a text file as determined by the file name and folder path you specify on Dropbox and this [E2]trigger[/E2] fires every time any file is saved in the folder you specify on Dropbox.
"Cause-Effect(e1,e2)",This [E1]action[/E1] will turn a WeMo Switch on and this [E2]trigger[/E2] fires every time your WeMo Switch is turned on.
"Cause-Effect(e1,e2)",This [E1]action[/E1] will turn a WeMo Switch on and this [E2]trigger[/E2] fires every time your WeMo Switch is turned off.
"Cause-Effect(e1,e2)",This [E1]action[/E1] will turn a WeMo Switch off and this [E2]trigger[/E2] fires every time your WeMo Switch is turned on.
"Cause-Effect(e1,e2)",This [E1]action[/E1] will turn a WeMo Switch off and this [E2]trigger[/E2] fires every time your WeMo Switch is turned off.
"Cause-Effect(e1,e2)",This [E1]action[/E1] will update your bio and optionally tweet about it on Twitter and this [E2]trigger[/E2] fires every time you post a new tweet on Twitter.
Other,This [E1]action[/E1] will update your bio and optionally tweet about it on Twitter and this [E2]trigger[/E2] fires every time a new tweet matches your search query on Twitter.
Other,This [E1]action[/E1] will update your bio and optionally tweet about it on Twitter and this [E2]trigger[/E2] fires every time you like a tweet on Twitter.
"Cause-Effect(e1,e2)",This [E1]action[/E1] will update your bio and optionally tweet about it on Twitter and this [E2]trigger[/E2] fires every time the Twitter user you specify tweets.
Other,This [E1]action[/E1] will update your bio and optionally tweet about it on Twitter and this [E2]trigger[/E2] fires every time you post a new tweet with a specific hashtag on Twitter.
Other,This [E1]action[/E1] will update your bio and optionally tweet about it on Twitter and this [E2]trigger[/E2] fires every time you are @mentioned in a tweet on Twitter.
Other,This [E1]action[/E1] will update your bio and optionally tweet about it on Twitter and this [E2]trigger[/E2] fires every time a new user starts following you on Twitter.
Other,This [E1]action[/E1] will update your bio and optionally tweet about it on Twitter and this [E2]trigger[/E2] fires for every link you tweet on Twitter.
Other,This [E1]action[/E1] will create a new text file at the path you specify on Dropbox and this [E2]trigger[/E2] fires every time a photo is saved in the folder you specify on Dropbox.
"Cause-Effect(e1,e2)",This [E1]action[/E1] will create a new text file at the path you specify on Dropbox and this [E2]trigger[/E2] fires every time any file is saved in the folder you specify on Dropbox.
"Cause-Effect(e1,e2)",This [E1]action[/E1] will turn a WeMo Switch off then immediately back on and this [E2]trigger[/E2] fires every time your WeMo Switch is turned on.
"Cause-Effect(e1,e2)",This [E1]action[/E1] will turn a WeMo Switch off then immediately back on and this [E2]trigger[/E2] fires every time your WeMo Switch is turned off.
"Cause-Effect(e1,e2)",This [E1]action[/E1] will turn a WeMo Switch on then immediately back off and this [E2]trigger[/E2] fires every time your WeMo Switch is turned on.
"Cause-Effect(e1,e2)",This [E1]action[/E1] will turn a WeMo Switch on then immediately back off and this [E2]trigger[/E2] fires every time your WeMo Switch is turned off.
"Cause-Effect(e1,e2)",This [E1]action[/E1] will toggle a WeMo Switch on or off and this [E2]trigger[/E2] fires every time your WeMo Switch is turned on.
"Cause-Effect(e1,e2)",This [E1]action[/E1] will toggle a WeMo Switch on or off and this [E2]trigger[/E2] fires every time your WeMo Switch is turned off.
Other,This [E1]action[/E1] will add a new article URL to your Saved For Later queue on Feedly and This [E2]trigger[/E2] fires every time a new article from a specific category appears on Feedly.
"Cause-Effect(e1,e2)",This [E1]action[/E1] will add a new article URL to your Saved For Later queue on Feedly and This [E2]trigger[/E2] fires every time a new article is added to your Saved For Later queue on Feedly.
Other,This [E1]action[/E1] will add a new article URL to your Saved For Later queue on Feedly and This [E2]trigger[/E2] fires every time you add any new source to Feedly.
"Cause-Effect(e1,e2)",This [E1]action[/E1] will add a private bookmark to your Pinboard account and this [E2]trigger[/E2] fires every time you create a new public bookmark with a single tag you specify on Pinboard.
"Cause-Effect(e1,e2)",This [E1]action[/E1] will add a private bookmark to your Pinboard account and this [E2]trigger[/E2] fires every time you create a new public bookmark on Pinboard.
Other,This [E1]action[/E1] will attempt to add a new source from a feed or page URL on Feedly and This [E2]trigger[/E2] fires every time a new article from a specific category appears on Feedly.
Other,This [E1]action[/E1] will attempt to add a new source from a feed or page URL on Feedly and This [E2]trigger[/E2] fires every time a new article is added to your Saved For Later queue on Feedly.
"Cause-Effect(e1,e2)",This [E1]action[/E1] will attempt to add a new source from a feed or page URL on Feedly and This [E2]trigger[/E2] fires every time you add any new source to Feedly.
